"Object ID","Organization Name","Approved On Street","Borough Name","Approved From Street","Approved To Street","apprDaysWe","Status Type","Approved Monday Open","Approved Monday Close","Approved Tuesday Open","Approved Tuesday Close","Approved Wednesday Open","Approved Wednesday Close","Approved Thursday Open","Approved Thursday Close","Approved Friday Open","Approved Friday Close","Approved Saturday Open","Approved Saturday Close","Approved Sunday Open","Approved Sunday Close","apprStartD","apprEndDat","Shape_STLe","segmentidt","segmentidf","lionversion","The_Geom"
"254","P.S. 120 Queens","136 STREET","Queens","58 AVENUE","58 ROAD","mon,tue,wed,thu,fri","approvedFullSchools","08:30","13:45","08:30","13:45","08:30","13:45","08:30","13:45","08:30","13:45",,,,,"01/01/2024","06/27/2025","257.498583692","0091126","0091126","23C","MULTILINESTRING ((-73.82930054634949 40.74563335033671, -73.82941823423873 40.74493227188395))"
"255","Asian American Federation","BARTON AVENUE","Queens","149 PLACE","150 STREET","fri,sat,sun","approvedFull",,,,,,,,,"09:00","23:00","09:00","23:00","09:00","21:00","03/15/2024","11/15/2024","254.18935055","0091686","0091686","23C","MULTILINESTRING ((-73.81501666744683 40.76285047308528, -73.81415161869404 40.76308316747144))"
"256","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","31.5611405652","0108565","0108565","23C","MULTILINESTRING ((-74.0338657733214 40.61659397090017, -74.03389978904505 40.61651131107101))"
"257","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","228.271160252","0108566","0108566","23C","MULTILINESTRING ((-74.03389978904505 40.61651131107101, -74.03414586357573 40.615913472483))"
"258","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","21.8752172395","0108567","0108567","23C","MULTILINESTRING ((-74.03358936528736 40.61727619650952, -74.03361284144368 40.61721888050518))"
"259","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","238.254060096","0108568","0108568","23C","MULTILINESTRING ((-74.03361284144368 40.61721888050518, -74.0338657733214 40.61659397090017))"
"260","ADDISLEIGH PARK CIVIC ORGANIZATION","110 AVENUE","Queens","180 STREET","DEAD END","mon,tue,wed,thu,fri,sat,sun","approvedFull","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","09:00","17:00","12:00","18:00","06/22/2024","11/30/2024","121.790108233","0115945","0115945","23C","MULTILINESTRING ((-73.77395659522011 40.699805780409505, -73.77359394938746 40.69999438291293))"
"261","Addisleigh Park Civic Organization","MURDOCK AVENUE","Queens","180 STREET","DEAD END","mon,tue,wed,thu,fri,sat,sun","approvedFull","09:00","22:00","09:00","22:00","09:00","22:00","09:00","22:00","09:00","22:00","09:00","22:00","09:00","22:00","01/01/2024","12/31/2024","128.750247937","0115951","0115951","23C","MULTILINESTRING ((-73.77034371987644 40.69605956213102, -73.76997093937987 40.696270232619185))"
"262","Kesher Bridging Communities","READS LANE","Queens","CORNAGA AVENUE","MEEHAN AVENUE","fri,sat,sun","approvedLimited",,,,,,,,,"15:30","19:00","08:00","20:00","12:00","16:00","01/01/2024","12/31/2024","228.897636369","0148412","0148412","23C","MULTILINESTRING ((-73.74260909897208 40.60334336728347, -73.74309047992499 40.60385338463328))"
"263","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","33.4216798676","0152516","0152516","23C","MULTILINESTRING ((-73.89715726900846 40.7524569857242, -73.89705160055586 40.75250123316205))"
"264","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.039763393","0152873","0152873","23C","MULTILINESTRING ((-73.87572997723949 40.754660509135675, -73.87480201131594 40.754767601078946))"
"265","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.45611829","0152936","0152936","23C","MULTILINESTRING ((-73.8803944511152 40.75425746339225, -73.87946297673437 40.754354017289295))"
"266","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.343555225","0152950","0152950","23C","MULTILINESTRING ((-73.88132235355795 40.754163627718945, -73.8803944511152 40.75425746339225))"
"267","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.207124659","0152970","0152970","23C","MULTILINESTRING ((-73.88316798434425 40.75387809083356, -73.88223775942433 40.75397650546405))"
"268","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.755601193","0153051","0153051","23C","MULTILINESTRING ((-73.89246656053848 40.75291120404731, -73.89153637689665 40.75300034744022))"
"269","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.769344087","0153059","0153059","23C","MULTILINESTRING ((-73.89619819425857 40.7525931464853, -73.89526532406734 40.75268813393475))"
"270","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.984294132","0153067","0153067","23C","MULTILINESTRING ((-73.87574710144773 40.75475528788196, -73.87481744766366 40.754852445544905))"
"271","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.793580685","0153113","0153113","23C","MULTILINESTRING ((-73.89432229697792 40.75271152326952, -73.8933897385441 40.75280876509354))"
"272","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.541489615","0153144","0153144","23C","MULTILINESTRING ((-73.89155178802983 40.75308442330961, -73.89061993388877 40.753180500633746))"
"273","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.478094541","0153179","0153179","23C","MULTILINESTRING ((-73.87852079061304 40.754368346043684, -73.87758913533159 40.75446434429677))"
"274","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.352313265","0153243","0153243","23C","MULTILINESTRING ((-73.88130574852767 40.75407217320464, -73.88037843319854 40.75416947630288))"
"275","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.008306505","0153280","0153280","23C","MULTILINESTRING ((-73.89526532406734 40.75268813393475, -73.89433755893178 40.75279551848457))"
