"Object ID","Organization Name","Approved On Street","Borough Name","Approved From Street","Approved To Street","apprDaysWe","Status Type","Approved Monday Open","Approved Monday Close","Approved Tuesday Open","Approved Tuesday Close","Approved Wednesday Open","Approved Wednesday Close","Approved Thursday Open","Approved Thursday Close","Approved Friday Open","Approved Friday Close","Approved Saturday Open","Approved Saturday Close","Approved Sunday Open","Approved Sunday Close","apprStartD","apprEndDat","Shape_STLe","segmentidt","segmentidf","lionversion","The_Geom"
"296","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.793363284","0153802","0153802","23C","MULTILINESTRING ((-73.89433755893178 40.75279551848457, -73.89340443486667 40.75288957211642))"
"297","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.289514209","0153810","0153810","23C","MULTILINESTRING ((-73.87946297673437 40.754354017289295, -73.87853519996877 40.754447460808066))"
"298","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.201230528","0153853","0153853","23C","MULTILINESTRING ((-73.88318405207386 40.75396674396013, -73.88225301590495 40.754060501373246))"
"299","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.561097774","0153867","0153867","23C","MULTILINESTRING ((-73.88223775942433 40.75397650546405, -73.88130574852767 40.75407217320464))"
"300","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.947773038","0153880","0153880","23C","MULTILINESTRING ((-73.89525205677165 40.75261586524789, -73.89432229697792 40.75271152326952))"
"301","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.807668471","0153916","0153916","23C","MULTILINESTRING ((-73.87665879995191 40.75456233465293, -73.87572997723949 40.754660509135675))"
"302","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","258.485177154","0153949","0153949","23C","MULTILINESTRING ((-73.8933897385441 40.75280876509354, -73.89246656053848 40.75291120404731))"
"303","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.654287763","0153952","0153952","23C","MULTILINESTRING ((-73.8859568135523 40.75358597793762, -73.88502886804369 40.75368580413993))"
"304","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","260.568437599","0153965","0153965","23C","MULTILINESTRING ((-73.88225301590495 40.754060501373246, -73.88132235355795 40.754163627718945))"
"305","34th Avenue Open Streets Coalition","34 AVENUE","Queens","69 STREET","JUNCTION BOULEVARD","mon,tue,wed,thu,fri,sat,sun","approvedLimited","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","07:00","20:00","02/01/2024","12/31/2024","259.797247277","0153969","0153969","23C","MULTILINESTRING ((-73.88781742388635 40.75339868066337, -73.88688775447339 40.753491793377016))"
"306","Middle School 88","18 STREET","Brooklyn","7 AVENUE","6 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","10:30","13:30","10:30","13:30","10:30","13:30","10:30","13:30","10:30","13:30",,,,,"09/05/2024","06/27/2025","88.1081843402","0162199","0162199","23C","MULTILINESTRING ((-73.98760345301754 40.660401228769715, -73.98744982508757 40.66018957273075))"
"307","PS 118","7 STREET","Brooklyn","4 AVENUE","5 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30",,,,,"04/17/2024","06/27/2025","773.440445724","0162211","0162211","23C","MULTILINESTRING ((-73.98764894288934 40.671521991372124, -73.98529421367746 40.67038520198739))"
"308","Lower East Side Partnership","ORCHARD STREET","Manhattan","GRAND STREET","DELANCEY STREET","mon,tue,wed,thu,fri,sat,sun","approvedFull","12:00","21:00","12:00","21:00","12:00","21:00","12:00","22:00","12:00","22:00","12:00","22:00","12:00","21:00","02/23/2024","01/31/2025","318.434583757","0164282","0164282","23C","MULTILINESTRING ((-73.99023340438795 40.7181240842832, -73.9898143310417 40.71893787388983))"
"309","Salsa Stories","SUFFOLK STREET","Manhattan","RIVINGTON STREET","DELANCEY STREET","sun","approvedFull",,,,,,,,,,,,,"16:00","19:30","08/11/2024","09/15/2024","478.161184793","0164348","0164348","23C","MULTILINESTRING ((-73.98652333180374 40.718112034659995, -73.9859109239171 40.71933897360241))"
"310","Lower East Side Partnership","ORCHARD STREET","Manhattan","DELANCEY STREET","EAST HOUSTON STREET","sun","approvedFull",,,,,,,,,,,,,"08:00","18:00","02/04/2024","01/26/2025","457.967983705","0164369","0164369","23C","MULTILINESTRING ((-73.9885225217559 40.721461521751834, -73.98790241273662 40.72262663648754))"
"311","The Buckley School","EAST 73 STREET","Manhattan","LEXINGTON AVENUE","PARK AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","09:00","14:00","09:00","14:00","09:00","14:00","09:00","14:00","09:00","14:00",,,,,"07/01/2024","06/27/2025","476.874610857","0165998","0165998","23C","MULTILINESTRING ((-73.9632139725931 40.77174036980928, -73.96170832767773 40.77110558281828))"
"312","The Allen-Stevenson School","EAST 78 STREET","Manhattan","PARK AVENUE","LEXINGTON AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","07:30","15:30","07:30","15:30","07:30","15:30","07:30","15:30","07:30","15:30",,,,,"09/05/2024","06/27/2025","477.36020476","0166020","0166020","23C","MULTILINESTRING ((-73.96090437938227 40.774909028553004, -73.95939395625123 40.77427796511495))"
"313","The Dalton School","EAST 91 STREET","Manhattan","PARK AVENUE","MADISON AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","10:30","14:00","10:30","14:00","10:30","14:00","10:30","14:00","10:30","14:00",,,,,"09/05/2024","06/27/2025","476.087224304","0166061","0166061","23C","MULTILINESTRING ((-73.95648701141026 40.784044551371665, -73.95498705345706 40.783406068957426))"
"314","Uptown Grand Central","EAST 101 STREET","Manhattan","PARK AVENUE","LEXINGTON AVENUE","sat","approvedFull",,,,,,,,,,,"12:00","20:00",,,"05/18/2024","06/29/2024","471.141559405","0166118","0166118","23C","MULTILINESTRING ((-73.95009123554955 40.78968413911938, -73.94860467689013 40.78905508931298))"
"315","Morningside Area Alliance","LA SALLE STREET","Manhattan","CLAREMONT AVENUE","BROADWAY","thu","approvedFull",,,,,,,"15:30","21:00",,,,,,,"05/02/2024","10/31/2024","281.667073568","0166337","0166337","23C","MULTILINESTRING ((-73.95979225988911 40.8138234742671, -73.96069039830704 40.814186868065114))"
"316","120 Marcus Meets Malcolm, Inc","WEST 120 STREET","Manhattan","LENOX AVENUE","MOUNT MORRIS PARK WEST","mon,tue,wed,thu,fri,sat,sun","approvedLimited","10:00","20:00","10:00","20:00","10:00","20:00","10:00","20:00","10:00","22:00","10:00","22:00","10:00","20:00","02/01/2024","01/31/2025","504.450638949","0166536","0166536","23C","MULTILINESTRING ((-73.94613131009999 40.803877357760584, -73.94772447951024 40.804549295957116))"
"317","The Police Athletic League","WEST 124 STREET","Manhattan","MOUNT MORRIS PARK WEST","LENOX AVENUE","mon,tue,wed,thu","approvedFull","11:00","16:00","11:00","16:00","11:00","16:00","11:00","16:00",,,,,,,"07/08/2024","08/22/2024","504.293556802","0166556","0166556","23C","MULTILINESTRING ((-73.94430194558471 40.806390823697086, -73.94589436249717 40.80706298554174))"
"318","P.S. 176 The Cambria Heights School","235 STREET","Queens","120 AVENUE","121 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00",,,,,"09/05/2024","06/27/2025","636.170494076","0171853","0171853","23C","MULTILINESTRING ((-73.72960505858767 40.68624978661051, -73.7304396947666 40.68462333808105))"
"319","NYC DoE - Community Health Academy of the Heights","WEST 158 STREET","Manhattan","BROADWAY","AMSTERDAM AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","11:30","14:00","11:30","14:00","11:30","14:00","11:30","14:00","11:00","13:15",,,,,"09/05/2024","06/27/2025","865.626574327","0173647","0173647","23C","MULTILINESTRING ((-73.9415772405953 40.83348746649055, -73.94431628874683 40.83463503368559))"
"320","NYCDOE Mosaic 3K/Pre-k Center 24Q331 @ Q364","41 AVENUE","Queens","75 STREET","76 STREET","wed,fri","approvedFullSchools",,,,,"08:30","11:30",,,"08:30","11:30",,,,,"09/05/2024","06/27/2025","251.105427754","0175287","0175287","23C","MULTILINESTRING ((-73.89015144589978 40.74530813979632, -73.88925529154983 40.745410560789104))"
"321","PS 330Q Helen M. Marshall","110 STREET","Queens","34 AVENUE","NORTHERN BOULEVARD","mon,tue,wed,thu,fri","approvedFullSchools","07:15","14:30","07:15","14:30","07:15","14:30","07:15","14:30","07:15","14:30",,,,,"09/05/2024","06/27/2025","526.14459784","0177513","0177513","23C","MULTILINESTRING ((-73.85951332469818 40.75787858993161, -73.85882008495498 40.75653410703088))"
"322","P.S. 28Q The Thomas Emanuel Early Childhood Center","47 AVENUE","Queens","109 STREET","111 STREET","mon,tue,wed,thu,fri","approvedFullSchools","07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00",,,,,"09/05/2024","06/27/2025","436.778377202","0177538","0177538","23C","MULTILINESTRING ((-73.85515353957521 40.747038273798104, -73.85368224705618 40.74746858573717))"
"323","PS143Q The Louis Armstrong Elementary School","113 STREET","Queens","34 AVENUE","37 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","07:55","14:30","07:55","14:30","07:55","14:30","07:55","14:30","07:55","14:30",,,,,"09/05/2024","06/27/2025","922.08027428","0177544","0177544","23C","MULTILINESTRING ((-73.85601772284632 40.757029924186305, -73.85477642117732 40.75468165973262))"
"324","Chinatown District Management Association, Inc. (aka Chinatown BID)","PELL STREET","Manhattan","MOTT STREET","BOWERY","sat,sun","approvedFull",,,,,,,,,,,"09:00","23:00","09:00","21:00","04/01/2024","10/31/2024","251.133805879","0251997","0251997","23C","MULTILINESTRING ((-73.99716462447765 40.714634224037106, -73.99803530495666 40.71482456235062))"
"325","Von Design Limited","BLEECKER STREET","Manhattan","MOTT STREET","BOWERY","wed,thu,fri,sat,sun","approvedFull",,,,,"17:00","23:00","17:00","23:00","17:00","23:00","11:00","23:00","11:00","23:00","04/01/2024","10/31/2024","224.321919467","0275232","0275232","23C","MULTILINESTRING ((-73.99227762101506 40.72524926807425, -73.99304198121565 40.72545161616486))"
"326","il Buco","BOND STREET","Manhattan","LAFAYETTE STREET","BOWERY","mon,tue,wed,thu,fri,sat,sun","approvedFull","16:30","23:00","16:30","23:00","16:30","23:00","16:30","23:00","16:30","23:00","10:00","23:00","10:00","23:00","04/01/2024","10/31/2024","655.012473623","0275233","0275233","23C","MULTILINESTRING ((-73.99412963258047 40.726639637213935, -73.99213361907887 40.725677139708125))"
"327","Hudson Yards Hell's Kitchen Alliance","HUDSON BOULEVARD EAST","Manhattan","WEST 35 STREET","WEST 36 STREET","mon,tue,wed,thu,fri,sat","approvedLimited","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00",,,"05/01/2024","11/02/2024","256.005732973","0276240","0276240","23C","MULTILINESTRING ((-73.99995867710625 40.755799676680915, -73.99946001417979 40.75639124788916))"
"328","Boriken Neighborhood Health Center/ East Harlem Council for Human Services, Inc.","EAST 123 STREET","Manhattan","2 AVENUE","3 AVENUE","fri","approvedFull",,,,,,,,,"10:00","16:00",,,,,"07/12/2024","08/30/2024","708.373491968","0287474","0287474","23C","MULTILINESTRING ((-73.93676968378777 40.80239634306305, -73.93453295745067 40.801452226865855))"
"329","Kettle of Fish","CHRISTOPHER STREET","Manhattan","WAVERLY PLACE","7 AVENUE SOUTH","fri,sat,sun","approvedFull",,,,,,,,,"17:00","23:00","12:00","23:00","12:00","23:00","04/12/2024","04/11/2025","445.020135943","0032213","0032236","23C","MULTILINESTRING ((-74.0026600259461 40.73364649644143, -74.00278641410671 40.73363250856266), (-74.00175809764825 40.733768243519144, -74.0026600259461 40.73364649644143), (-74.00120475952991 40.73384309185945, -74.00175809764825 40.733768243519144))"
"330","PS 109 Sedgwick School","PALISADE PLACE","Bronx","POPHAM AVENUE","POPHAM AVENUE","mon","approvedFullSchools","07:30","16:30",,,,,,,,,,,,,"09/05/2024","06/27/2025","496.892130573","0071913","0113093","23C","MULTILINESTRING ((-73.91832575515636 40.85154322578223, -73.91819882014791 40.85181870434753), (-73.91819882014791 40.85181870434753, -73.91863790511044 40.852381966271835), (-73.91863790511044 40.852381966271835, -73.91883794737883 40.85277077739181))"
"331","Thomas A. Edison CTE High School","84 AVENUE","Queens","168 STREET","164 PLACE","mon,tue,wed,thu,fri","approvedFullSchools","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30",,,,,"09/05/2024","06/27/2025","1202.67374249","0117728","0106623","23C","MULTILINESTRING ((-73.801570243488 40.715203773156105, -73.79958920258824 40.71549416981037), (-73.79958920258824 40.71549416981037, -73.79943243098079 40.715539381684316), (-73.79943243098079 40.715539381684316, -73.79928191747227 40.71559717541208), (-73.79928191747227 40.71559717541208, -73.79914023277611 40.71566669101113), (-73.7976219215303 40.71590108291696, -73.79748433578536 40.71578931248363), (-73.79914023277611 40.71566669101113, -73.79900962922983 40.71574668973874), (-73.79900962922983 40.71574668973874, -73.7988908504728 40.71581428190115), (-73.7988908504728 40.71581428190115, -73.79875653713037 40.71586844715929), (-73.79875653713037 40.71586844715929, -73.79861091106275 40.71590635622978), (-73.79861091106275 40.71590635622978, -73.79845924411711 40.715926298319864), (-73.79845924411711 40.715926298319864, -73.79830725403366 40.715927842171794), (-73.79830725403366 40.715927842171794, -73.79816040582693 40.71591194290379), (-73.79816040582693 40.71591194290379, -73.7976219215303 40.71590108291696))"
"332","The Willowtown Assocation","JORALEMON STREET","Brooklyn","HICKS STREET","FURMAN STREET","mon,tue,wed,thu,fri,sat,sun","approvedLimited","08:00","21:00","08:00","21:00","08:00","21:00","08:00","09:00","08:00","21:00","08:00","21:00","08:00","21:00","04/15/2024","10/31/2024","262.951509731","0162464","0162461","23C","MULTILINESTRING ((-73.99907181657612 40.6938511393489, -73.9983102567652 40.693730695205026), (-73.99923561743012 40.69388638662395, -73.99920975475816 40.69388001081876), (-73.99913183431677 40.69386102744774, -73.99907181657612 40.6938511393489), (-73.99920975475816 40.69388001081876, -73.99913183431677 40.69386102744774))"
"333","North Brooklyn Open Streets Community Coalition (NBK OSCC)","BERRY STREET","Brooklyn","BROADWAY","NORTH 12 STREET","mon,tue,wed,thu,fri,sat,sun","approvedLimited","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","02/01/2024","12/31/2024","270.117672035","0238989","0256728","23C","MULTILINESTRING ((-73.96521646447329 40.71126056666808, -73.96536909885948 40.711006113010924), (-73.96516417342717 40.711347747320005, -73.96521646447329 40.71126056666808), (-73.96499333080433 40.71162193165405, -73.96504618959372 40.71153841453307), (-73.96495778319382 40.71167810280659, -73.96499333080433 40.71162193165405), (-73.96510643529771 40.71143428783414, -73.96516417342717 40.711347747320005), (-73.96504618959372 40.71153841453307, -73.96510643529771 40.71143428783414))"
"334","Staten Island Chamber of Commerce Foundation Inc. / The Angiuli Group, LLC","MINTHORNE STREET","Staten Island","BAY STREET","VICTORY BOULEVARD","fri,sat","approvedFull",,,,,,,,,"16:00","00:00","11:00","00:00",,,"04/19/2024","10/31/2024","570.65356566","0016424","0229193","23C","MULTILINESTRING ((-74.07556065573438 40.63674439837296, -74.07617948713154 40.63656179791704), (-74.07532908811164 40.63763885315988, -74.07556065573438 40.63674439837296), (-74.07529215391295 40.63778525762714, -74.07532908811164 40.63763885315988))"
"335","Meatpacking District Management Association","9 AVENUE","Manhattan","WEST 14 STREET","WEST 15 STREET","mon,tue,wed,thu,fri,sat,sun","approvedFull","00:01","23:59","00:01","23:59","00:01","23:59","00:01","23:59","00:01","23:59","00:01","23:59","00:01","23:59","04/01/2024","12/31/2024","288.368092098","0271233","0271929","23C","MULTILINESTRING ((-74.00544214819755 40.740982140477406, -74.00538904476784 40.74105579004865), (-74.00538904476784 40.74105579004865, -74.00515888286897 40.7413711257545), (-74.00515888286897 40.7413711257545, -74.00493759875863 40.74167438210512))"
"336","Lenape Bloemendael DMA dba Columbus Amsterdam Business Improvement District","AMSTERDAM AVENUE","Manhattan","WEST 106 STREET","CATHEDRAL PARKWAY","sat,sun","approvedFull",,,,,,,,,,,"11:00","19:00","12:00","18:00","04/20/2024","11/10/2024","281.305654292","0294458","0294461","23C","MULTILINESTRING ((-73.96571058656656 40.80043706983051, -73.96543604966564 40.80081200971303), (-73.96543604966564 40.80081200971303, -73.96540460696797 40.80085470374992), (-73.96540460696797 40.80085470374992, -73.9652151143523 40.8011111502897))"
"337","Saint David's School","EAST 89 STREET","Manhattan","5 AVENUE","MADISON AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","10:00","14:00","10:00","14:00","10:00","14:00","10:00","14:00","10:00","14:00",,,,,"07/01/2024","06/27/2025","507.995575908","0301963","0301958","23C","MULTILINESTRING ((-73.95764535429892 40.78289087935332, -73.95740399322997 40.7827900233548), (-73.95785462981371 40.78297691166366, -73.95764535429892 40.78289087935332), (-73.95901176689073 40.783461284719465, -73.95785462981371 40.78297691166366))"
"338","Manhattan Day School","WEST 75 STREET","Manhattan","WEST END AVENUE","RIVERSIDE DRIVE","mon,tue,wed,thu,fri","approvedFullSchools","10:00","15:45","10:00","15:45","10:00","15:45","10:00","15:45","10:00","13:45",,,,,"09/05/2024","06/27/2025","543.967906417","0301989","0301984","23C","MULTILINESTRING ((-73.98306206521265 40.781757615991886, -73.98346365931796 40.781931800735855), (-73.98346365931796 40.781931800735855, -73.98365415286847 40.78201162587241), (-73.98365415286847 40.78201162587241, -73.9847788908747 40.782482925994884))"
"339","PS 421M West Prep Academy, NYCPS","WEST 108 STREET","Manhattan","AMSTERDAM AVENUE","BROADWAY","mon,tue,wed,thu,fri","approvedFullSchools","08:00","15:00","08:00","15:00","08:00","15:00","08:00","15:00","08:00","15:00",,,,,"09/05/2024","06/27/2025","866.629855312","0310072","0309981","23C","MULTILINESTRING ((-73.96475930379877 40.80174161330698, -73.96673033268226 40.80257167469008), (-73.96673033268226 40.80257167469008, -73.96722228303508 40.80277884210653), (-73.96722228303508 40.80277884210653, -73.96749723013971 40.80289462414988))"
"340","Community League of the Heights (CLOTH)","WEST 159 STREET","Manhattan","BROADWAY","AMSTERDAM AVENUE","mon,tue,wed,thu,fri","approvedFull","08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00",,,,,"07/08/2024","08/16/2024","869.122113658","0310596","0310591","23C","MULTILINESTRING ((-73.941118195768 40.83411376101075, -73.94310089025379 40.834945327999016), (-73.94310089025379 40.834945327999016, -73.94324363370166 40.83500519384823), (-73.94324363370166 40.83500519384823, -73.94386764907583 40.83526690009075))"
"341","Loisaida Open Streets Community Coalition","AVENUE B","Manhattan","EAST 7 STREET","EAST 10 STREET","mon,tue,wed,thu,fri,sat,sun","approvedLimited","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","02/01/2024","01/31/2025","249.162132505","0313631","0313628","23C","MULTILINESTRING ((-73.98075774655966 40.72567760878272, -73.98060768248618 40.72589054588949), (-73.98060768248618 40.72589054588949, -73.98052809695857 40.72600347519977), (-73.98052809695857 40.72600347519977, -73.98033298291035 40.726280335947244))"
"342","PS 28 Mount Hope","MOUNT HOPE PLACE","Bronx","MONROE AVENUE","ANTHONY AVENUE","fri","approvedFullSchools",,,,,,,,,"10:00","14:00",,,,,"09/05/2024","06/27/2025","708.662417372","0314068","0314041","23C","MULTILINESTRING ((-73.90481117697186 40.84815375998841, -73.90356494855868 40.84790773690447), (-73.90604399799986 40.84839712022877, -73.90542700604423 40.848275327818975), (-73.90489574472834 40.848170453732436, -73.90481117697186 40.84815375998841), (-73.90514454019545 40.848219567930016, -73.90489574472834 40.848170453732436), (-73.90542700604423 40.848275327818975, -73.90514454019545 40.848219567930016))"
"343","IS 117: Joseph H. Wade School","MORRIS AVENUE","Bronx","MOUNT HOPE PLACE","EAST 176 STREET","mon,tue,wed,thu,fri","approvedFullSchools","14:00","15:00","14:00","15:00","14:00","15:00","14:00","15:00","14:00","15:00",,,,,"09/05/2024","06/27/2025","310.145278233","0314086","0314091","23C","MULTILINESTRING ((-73.9085812972093 40.8480225009304, -73.90850187514415 40.84825852277129), (-73.90850187514415 40.84825852277129, -73.90846908856544 40.848355956156716), (-73.90846908856544 40.848355956156716, -73.90830376225485 40.84884725777419))"
"344","Community League of the Heights (CLOTH)","WEST 164 STREET","Manhattan","AMSTERDAM AVENUE","EDGECOMBE AVENUE","mon,tue,wed,thu,fri","approvedFull","08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00",,,,,"07/08/2024","08/16/2024","573.977537296","9000031","0329306","23C","MULTILINESTRING ((-73.93702354051005 40.83646894751916, -73.93748948008148 40.836664119220444), (-73.93748948008148 40.836664119220444, -73.93794638058752 40.8368555011936), (-73.93794638058752 40.8368555011936, -73.93800478311665 40.83687996480217), (-73.93831835744732 40.837011310578276, -73.93883989883555 40.8372297617786), (-73.93814812946724 40.836940008356265, -73.93820768533706 40.836964954244436), (-73.93820768533706 40.836964954244436, -73.93831835744732 40.837011310578276), (-73.93800478311665 40.83687996480217, -73.93808619496552 40.83691406611457), (-73.93808619496552 40.83691406611457, -73.93814812946724 40.836940008356265))"
"345","Flatbush Development Corporation","NEWKIRK AVENUE","Brooklyn","EAST 17 STREET","CONEY ISLAND AVENUE","sun","approvedFull",,,,,,,,,,,,,"11:00","20:00","05/19/2024","07/15/2024","284.447720093","0346631","0346619","23C","MULTILINESTRING ((-73.9633486533201 40.63551807467684, -73.96308759779865 40.63564288955836), (-73.96277454673496 40.63579256296198, -73.96248058882877 40.63593310417654), (-73.96308759779865 40.63564288955836, -73.96285500622159 40.63575409539561), (-73.96285500622159 40.63575409539561, -73.96277454673496 40.63579256296198))"
"346","Family Unity in Our Community Incorporated","109 AVENUE","Queens","159 STREET","160 STREET","sat","approvedFull",,,,,,,,,,,"11:00","16:00",,,"07/13/2024","08/24/2024","242.384532188","9000677","9000670","23C","MULTILINESTRING ((-73.79289164566032 40.693789572308674, -73.79282746388795 40.693817124222306), (-73.79282746388795 40.693817124222306, -73.79278144930689 40.69383687703082), (-73.79264912627994 40.69389368094267, -73.79260253109561 40.69391368207631), (-73.79260253109561 40.69391368207631, -73.79213031298069 40.694116392508654), (-73.79278144930689 40.69383687703082, -73.79273927665422 40.693854980692315), (-73.79273927665422 40.693854980692315, -73.79269115208054 40.69387564008576), (-73.79269115208054 40.69387564008576, -73.79264912627994 40.69389368094267))"
"347","PS 64M Robert Simon School","EAST 5 STREET","Manhattan","AVENUE C","DEAD END","mon,tue,wed,thu,fri","approvedFullSchools","10:00","13:00","10:00","13:00","10:00","13:00","10:00","13:00","10:00","13:00",,,,,"09/05/2024","06/27/2025","545.983921919","9000788","9000772","23C","MULTILINESTRING ((-73.98053381372345 40.72324120928106, -73.97972660697124 40.72289059713353), (-73.9805738638572 40.72325860488087, -73.98053381372345 40.72324120928106), (-73.98060741670409 40.72327317807671, -73.9805738638572 40.72325860488087), (-73.98076612869687 40.7233421134748, -73.98072680985494 40.72332503504384), (-73.98068769932556 40.7233080484863, -73.98064905155748 40.723291261906304), (-73.98064905155748 40.723291261906304, -73.98060741670409 40.72327317807671), (-73.98072680985494 40.72332503504384, -73.98068769932556 40.7233080484863), (-73.98097001585082 40.72343066832148, -73.9809332212786 40.72341468719872), (-73.98113038547811 40.72350032119575, -73.98108619521301 40.72348112859408), (-73.98143721969058 40.72363358971831, -73.98113038547811 40.72350032119575), (-73.98104708568403 40.72346414215915, -73.98101006621253 40.723448062868535), (-73.98101006621253 40.723448062868535, -73.98097001585082 40.72343066832148), (-73.98108619521301 40.72348112859408, -73.98104708568403 40.72346414215915), (-73.98088901692553 40.72339548731473, -73.98085130992587 40.72337910979022), (-73.9809332212786 40.72341468719872, -73.98088901692553 40.72339548731473), (-73.98080801808555 40.723360307151374, -73.98076612869687 40.7233421134748), (-73.98085130992587 40.72337910979022, -73.98080801808555 40.723360307151374))"
"348","Middle School 390","ANDREWS AVENUE SOUTH","Bronx","WEST BURNSIDE AVENUE","WEST 179 STREET","mon,tue,wed,thu,fri","approvedFullSchools","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30",,,,,"09/05/2024","06/27/2025","608.928802514","0111576","0111575","23C","MULTILINESTRING ((-73.91384894907132 40.85381088340412, -73.91383248836343 40.85392963693535), (-73.91383248836343 40.85392963693535, -73.91276117700986 40.855251293469074))"
"349","West 111th Street Block Association","AMSTERDAM AVENUE","Manhattan","CATHEDRAL PARKWAY","WEST 111 STREET","sat,sun","approvedFull",,,,,,,,,,,"10:00","00:00","10:00","00:00","03/16/2024","12/29/2024","272.883111581","0223272","0223271","23C","MULTILINESTRING ((-73.9638612634734 40.80297203811611, -73.96367946999935 40.80322199816941), (-73.96367946999935 40.80322199816941, -73.96338788813422 40.80362899260187))"
"350","PS 146 Brooklyn New School","RAPELYE STREET","Brooklyn","HICKS STREET","HENRY STREET","mon,tue,wed,thu,fri","approvedFullSchools","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00",,,,,"09/05/2024","06/27/2025","459.600353601","0021963","0021949","23C","MULTILINESTRING ((-74.00213829434544 40.68034636463283, -74.0013398065458 40.68012115807065), (-74.00289363583705 40.68055940979809, -74.00213829434544 40.68034636463283))"
